invoice_id,invoice_number,order_id,customer_id,invoice_date,due_date,paid_date,invoice_status,subtotal_amount,tax_amount,freight_amount,total_amount,amount_paid,currency_code,payment_terms_days,created_at,updated_at,_loaded_at,_source_system
INV00001,AR-500001,ORD00001,CUST0001,2024-01-13,2024-02-27,2024-03-15,PAID,44344.92,2771.56,403.65,47520.13,47520.13,USD,45,2024-01-13 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00002,AR-500002,ORD00002,CUST0002,2024-01-15,2024-03-15,2024-03-08,PARTIAL,34450.74,2153.17,230.01,36833.92,14694.51,USD,60,2024-01-15 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00003,AR-500003,ORD00003,CUST0003,2024-01-16,2024-01-31,2024-01-22,PAID,19187.12,1199.19,422.84,20809.15,20809.15,USD,15,2024-01-16 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00004,AR-500004,ORD00004,CUST0004,2024-01-22,2024-03-22,2024-03-15,PAID,34971.7,2185.73,205.74,37363.17,37363.17,USD,60,2024-01-22 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00005,AR-500005,ORD00005,CUST0005,2024-01-27,2024-03-12,2024-03-20,PAID,778.94,48.68,94.84,922.46,922.46,USD,45,2024-01-27 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00006,AR-500006,ORD00006,CUST0006,2024-01-24,2024-03-09,2024-03-07,PAID,38817.43,2426.09,84.22,41327.74,41327.74,USD,45,2024-01-24 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00007,AR-500007,ORD00007,CUST0007,2024-01-29,2024-03-14,2024-03-19,PAID,27685.51,1730.34,164.67,29580.52,29580.52,USD,45,2024-01-29 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00008,AR-500008,ORD00008,CUST0008,2024-02-04,2024-03-05,2024-03-07,PAID,33910.76,2119.42,164.29,36194.47,36194.47,USD,30,2024-02-04 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00009,AR-500009,ORD00009,CUST0009,2024-02-05,2024-04-05,2024-02-16,PARTIAL,6118.48,382.4,259.15,6760.03,2124.57,USD,60,2024-02-05 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00010,AR-500010,ORD00010,CUST0010,2024-02-08,2024-03-09,2024-03-24,PAID,38569.82,2410.61,88.23,41068.66,41068.66,USD,30,2024-02-08 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00011,AR-500011,ORD00011,CUST0011,2024-02-09,2024-04-09,2024-04-27,PAID,8153.18,509.57,224.82,8887.57,8887.57,USD,60,2024-02-09 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00012,AR-500012,ORD00012,CUST0012,2024-02-15,2024-04-15,2024-04-17,PAID,25405.7,1587.86,255.53,27249.09,27249.09,USD,60,2024-02-15 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00013,AR-500013,ORD00013,CUST0013,2024-02-14,2024-03-15,,OPEN,36668.36,2291.77,214.44,39174.57,0,USD,30,2024-02-14 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00014,AR-500014,ORD00014,CUST0014,2024-02-17,2024-04-17,2024-04-24,PAID,11874.67,742.17,162.14,12778.98,12778.98,USD,60,2024-02-17 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00015,AR-500015,ORD00015,CUST0015,2024-02-23,2024-04-08,,OPEN,5675.38,354.71,390.32,6420.41,0,USD,45,2024-02-23 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00016,AR-500016,ORD00016,CUST0016,2024-02-25,2024-03-26,,WRITTEN_OFF,12986.24,811.64,146.29,13944.17,1394.42,USD,30,2024-02-25 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00017,AR-500017,ORD00017,CUST0017,2024-03-03,2024-05-02,2024-05-12,PAID,17302.93,1081.43,128.94,18513.3,18513.3,USD,60,2024-03-03 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00018,AR-500018,ORD00018,CUST0018,2024-03-01,2024-03-31,2024-04-09,PAID,41803.36,2612.71,189.82,44605.89,44605.89,USD,30,2024-03-01 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
INV00019,AR-500019,ORD00019,CUST0019,2024-03-08,2024-03-23,,OPEN,15627.24,976.7,141.07,16745.01,0,USD,15,2024-03-08 00:00:00,2025-09-18 09:00:00,2025-09-20 06:00:00,NETSUITE
