subscription_id,account_id,plan_id,status,mrr_cents,started_at,ended_at,churn_reason
sub_001,acc_001,plan_enterprise,active,99900,2024-01-20 00:00:00,,
sub_002,acc_002,plan_growth,active,14900,2024-02-05 00:00:00,,
sub_003,acc_003,plan_pro,churned,39900,2024-02-25 00:00:00,2024-08-25 00:00:00,competitor
sub_004,acc_004,plan_enterprise,active,99900,2024-03-10 00:00:00,,
sub_005,acc_005,plan_starter,active,4900,2024-03-20 00:00:00,,
sub_006,acc_006,plan_growth,active,14900,2024-04-05 00:00:00,,
sub_007,acc_007,plan_starter,churned,4900,2024-04-25 00:00:00,2024-09-25 00:00:00,price
sub_008,acc_008,plan_enterprise,active,99900,2024-05-15 00:00:00,,
sub_009,acc_009,plan_starter,active,4900,2024-06-01 00:00:00,,
sub_010,acc_010,plan_growth,active,14900,2024-06-15 00:00:00,,
sub_011,acc_011,plan_enterprise,active,120000,2024-07-05 00:00:00,,
sub_012,acc_012,plan_pro,active,39900,2024-07-25 00:00:00,,
sub_013,acc_013,plan_starter,active,4900,2024-08-10 00:00:00,,
sub_014,acc_014,plan_enterprise,active,99900,2024-08-28 00:00:00,,
sub_015,acc_016,plan_growth,active,14900,2024-09-12 00:00:00,,
sub_016,acc_017,plan_enterprise,active,99900,2024-10-01 00:00:00,,
sub_017,acc_018,plan_pro,active,39900,2024-10-20 00:00:00,,
sub_018,acc_019,plan_starter,active,4900,2024-11-05 00:00:00,,
sub_019,acc_020,plan_starter,trialing,0,2024-11-22 00:00:00,,
sub_020,acc_003,plan_growth,active,14900,2024-09-01 00:00:00,,
sub_021,acc_002,plan_starter,upgraded,4900,2024-02-05 00:00:00,2024-05-01 00:00:00,upgrade
sub_022,acc_011,plan_pro,upgraded,39900,2024-07-05 00:00:00,2024-10-01 00:00:00,upgrade
sub_023,acc_021,plan_starter,active,4900,2024-01-10 00:00:00,,
sub_024,acc_022,plan_growth,active,14900,2024-02-10 00:00:00,,
sub_025,acc_023,plan_pro,active,39900,2024-03-10 00:00:00,,
sub_026,acc_024,plan_enterprise,churned,99900,2024-04-10 00:00:00,2025-04-15 00:00:00,price
sub_027,acc_025,plan_starter,trialing,0,2024-05-10 00:00:00,,
sub_028,acc_026,plan_growth,active,14900,2024-06-10 00:00:00,,
sub_029,acc_027,plan_pro,active,39900,2024-07-10 00:00:00,,
sub_030,acc_028,plan_enterprise,active,99900,2024-08-10 00:00:00,,
sub_031,acc_029,plan_starter,churned,4900,2024-09-10 00:00:00,2025-03-15 00:00:00,price
sub_032,acc_030,plan_growth,trialing,0,2024-10-10 00:00:00,,
sub_033,acc_031,plan_pro,active,39900,2024-11-10 00:00:00,,
sub_034,acc_032,plan_enterprise,active,99900,2024-12-10 00:00:00,,
sub_035,acc_033,plan_starter,active,4900,2024-01-10 00:00:00,,
sub_036,acc_034,plan_growth,churned,14900,2024-02-10 00:00:00,2025-02-15 00:00:00,price
sub_037,acc_035,plan_pro,trialing,0,2024-03-10 00:00:00,,
sub_038,acc_021,plan_enterprise,active,99900,2024-04-10 00:00:00,,
sub_039,acc_022,plan_starter,active,4900,2024-05-10 00:00:00,,
sub_040,acc_023,plan_growth,active,14900,2024-06-10 00:00:00,,
sub_041,acc_024,plan_pro,churned,39900,2024-07-10 00:00:00,2025-01-15 00:00:00,price
sub_042,acc_025,plan_enterprise,trialing,0,2024-08-10 00:00:00,,
