ARKey,DateKey,CustomerKey,RegionKey,InvoiceAmount,AmountPaid,DaysPastDue,AgingBucket
1,20240404,25,4,1569.36,1569.36,110,90+
2,20240407,3,2,24716.14,7414.84,40,31-60
3,20240410,7,4,12806.13,12806.13,12,1-30
4,20240413,10,4,2942.94,2942.94,-5,Current
5,20240416,31,3,21837.86,6551.36,-5,Current
6,20240419,6,3,8794.75,8794.75,110,90+
7,20240422,21,4,21382.36,21382.36,40,31-60
8,20240425,5,2,21873.38,0.0,70,61-90
9,20240428,6,4,15963.44,7981.72,0,Current
10,20240501,11,3,24469.27,0.0,40,31-60
11,20240504,4,3,22633.89,0.0,12,1-30
12,20240507,16,4,9282.35,9282.35,0,Current
13,20240510,12,1,14365.24,4309.57,0,Current
14,20240513,16,4,15432.55,15432.55,70,61-90
15,20240516,30,3,22864.31,6859.29,0,Current
16,20240519,19,2,11759.48,0.0,40,31-60
17,20240522,20,4,2309.62,1154.81,70,61-90
18,20240525,13,4,17412.68,17412.68,12,1-30
19,20240528,25,3,21406.72,0.0,0,Current
20,20240531,26,3,14582.89,7291.44,-5,Current
21,20240603,32,3,698.4,0.0,70,61-90
22,20240606,23,2,19505.65,5851.7,70,61-90
23,20240609,9,1,16097.14,16097.14,12,1-30
24,20240612,29,1,22633.39,0.0,12,1-30
25,20240615,19,3,14699.56,4409.87,-5,Current
26,20240618,9,3,18813.28,5643.98,0,Current
27,20240621,17,4,13505.88,6752.94,0,Current
28,20240624,22,1,24200.91,12100.45,110,90+
29,20240627,15,4,11974.12,0.0,0,Current
30,20240630,6,4,24198.11,24198.11,12,1-30
31,20240703,30,3,841.01,841.01,-5,Current
32,20240706,25,3,16984.3,8492.15,70,61-90
33,20240709,2,3,3154.48,946.34,40,31-60
34,20240712,5,4,22923.77,6877.13,110,90+
35,20240715,27,1,22780.0,11390.0,110,90+
36,20240718,32,1,3924.54,0.0,12,1-30
37,20240721,25,4,2881.2,2881.2,0,Current
38,20240724,38,2,9589.78,9589.78,40,31-60
39,20240727,40,4,22192.64,0.0,40,31-60
40,20240730,24,2,23506.8,11753.4,-5,Current
41,20240802,7,3,11362.89,3408.87,12,1-30
42,20240805,26,3,13839.41,6919.7,-5,Current
43,20240808,6,2,5150.31,0.0,40,31-60
44,20240811,4,3,16221.76,16221.76,-5,Current
45,20240814,14,1,6467.44,1940.23,70,61-90
46,20240817,38,2,20830.54,20830.54,0,Current
47,20240820,10,1,20419.8,6125.94,12,1-30
48,20240823,35,3,7293.23,2187.97,0,Current
49,20240826,2,2,20063.59,0.0,110,90+
50,20240829,21,1,864.08,259.22,70,61-90
51,20240901,27,1,4769.03,0.0,0,Current
52,20240904,24,1,18768.8,18768.8,40,31-60
53,20240907,3,3,11574.13,3472.24,70,61-90
54,20240910,31,4,11722.04,0.0,-5,Current
55,20240913,29,1,10943.7,0.0,40,31-60
56,20240916,10,1,22532.04,11266.02,70,61-90
57,20240919,38,3,3591.69,3591.69,110,90+
58,20240922,19,4,9832.16,9832.16,70,61-90
59,20240925,8,2,12886.0,12886.0,-5,Current
60,20240928,22,4,11036.71,3311.01,40,31-60
