SalesKey,DateKey,RegionKey,BusinessUnitKey,CustomerKey,ProductKey,BookingsAmount,RecognizedNetAmount,COGSAmount,Units
1,20240403,2,1,7,22,38053.06,31346.27,18706.04,70
2,20240405,2,1,33,20,12086.13,10675.54,5925.62,4
3,20240407,4,1,29,19,34378.52,31882.74,21336.73,36
4,20240409,4,2,18,5,46043.23,37800.33,25968.42,28
5,20240411,1,2,23,20,52989.01,46126.36,26096.76,34
6,20240413,4,1,36,10,45935.03,42694.76,27374.12,80
7,20240415,1,1,15,25,49616.23,43376.75,25275.16,38
8,20240417,4,2,30,21,54305.41,51497.69,35909.45,47
9,20240419,1,3,11,18,15644.74,13662.4,9070.87,32
10,20240421,2,3,21,25,15679.92,13750.01,9875.52,8
11,20240423,3,1,14,19,18765.26,15477.87,9342.86,41
12,20240425,4,1,17,5,17993.45,16102.06,11277.82,32
13,20240427,4,3,26,12,43014.48,38749.45,26233.08,29
14,20240429,1,1,10,21,54874.31,46135.56,29245.22,21
15,20240501,4,3,30,17,45227.73,39950.74,22404.36,33
16,20240503,1,3,35,25,53640.68,50911.28,28100.57,35
17,20240505,2,2,1,24,44124.14,38433.29,23055.94,34
18,20240507,1,3,20,21,53678.74,50151.74,31911.85,65
19,20240509,1,3,21,16,36621.6,30869.29,20979.6,3
20,20240511,3,1,4,8,13257.78,11593.23,8318.2,73
21,20240513,1,3,9,5,52506.62,43730.03,27664.42,61
22,20240515,4,1,35,25,52501.89,44351.97,28372.16,26
23,20240517,3,2,34,15,41508.6,36521.29,24256.96,16
24,20240519,2,3,15,1,19651.56,16303.01,9024.95,10
25,20240521,1,2,5,17,41268.52,34204.63,19204.47,31
26,20240523,4,1,31,14,21088.43,18828.01,12081.36,25
27,20240525,4,2,4,22,12433.31,11424.31,6971.46,13
28,20240527,1,1,13,7,10848.8,10081.05,6916.62,69
29,20240529,2,1,29,18,29084.84,25690.12,15346.06,13
30,20240531,1,1,11,14,10377.65,10065.2,6966.37,63
31,20240602,2,2,1,13,30623.85,29083.4,20457.71,34
32,20240604,4,1,13,10,51546.35,48338.59,28930.28,28
33,20240606,3,1,4,19,53529.34,48544.53,31174.0,62
34,20240608,1,1,5,20,31633.97,29986.09,17294.88,9
35,20240610,2,3,39,2,39734.99,33984.57,19384.14,80
36,20240612,3,2,14,22,11853.22,10888.44,7034.9,41
37,20240614,3,2,21,25,19218.24,16899.9,11224.7,10
38,20240616,1,1,35,7,8437.83,7705.21,4975.32,65
39,20240618,2,2,19,6,20464.42,19645.62,13746.96,57
40,20240620,1,3,36,10,47186.01,43672.11,28560.91,14
41,20240622,1,3,36,5,52129.71,43796.45,24947.46,35
