order_id,order_line_id,order_number,customer_id,product_id,order_date,requested_ship_date,order_status,order_channel,quantity,unit_price,discount_pct,tax_amount,ship_from_location_id,ship_to_location_id,currency_code,sales_rep,created_at,updated_at,_loaded_at,_source_system
ORD00001,OL000001,SO-20240001,CUST0001,PROD0055,2024-01-08,2024-01-12,CLOSED,SALES_REP,21,53.3695,0,70.0475,LOC0003,LOC0054,USD,A. Patel,2024-01-08 00:00:00,2024-01-10 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00001,OL000002,SO-20240001,CUST0001,PROD0012,2024-01-08,2024-01-12,CLOSED,MARKETPLACE,28,60.3631,0,105.6354,LOC0002,LOC0070,USD,L. Chen,2024-01-08 00:00:00,2024-01-10 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00002,OL000003,SO-20240002,CUST0002,PROD0086,2024-01-11,2024-01-17,PARTIAL,MARKETPLACE,28,138.8355,0,242.9621,LOC0010,LOC0071,USD,A. Patel,2024-01-11 00:00:00,2024-01-13 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00002,OL000004,SO-20240002,CUST0002,PROD0074,2024-01-11,2024-01-16,PARTIAL,WEB,33,167.7923,0.05,328.768,LOC0012,LOC0072,USD,A. Patel,2024-01-11 00:00:00,2024-01-13 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00003,OL000005,SO-20240003,CUST0003,PROD0029,2024-01-14,2024-01-24,CLOSED,WEB,28,90.0234,0.1,141.7869,LOC0009,LOC0050,USD,J. Kim,2024-01-14 00:00:00,2024-01-16 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00003,OL000006,SO-20240003,CUST0003,PROD0035,2024-01-14,2024-01-21,CLOSED,WEB,45,13.3651,0,37.5893,LOC0006,LOC0058,USD,R. Brooks,2024-01-14 00:00:00,2024-01-16 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00003,OL000007,SO-20240003,CUST0003,PROD0085,2024-01-14,2024-01-17,CLOSED,MARKETPLACE,26,20.8729,0,33.9185,LOC0007,LOC0073,USD,S. Nguyen,2024-01-14 00:00:00,2024-01-16 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00004,OL000008,SO-20240004,CUST0004,PROD0048,2024-01-17,2024-01-20,SHIPPED,WEB,20,76.3606,0.1,85.9057,LOC0005,LOC0059,USD,R. Brooks,2024-01-17 00:00:00,2024-01-19 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00005,OL000009,SO-20240005,CUST0005,PROD0035,2024-01-20,2024-01-29,OPEN,SALES_REP,29,13.1562,0.05,22.6533,LOC0009,LOC0062,USD,R. Brooks,2024-01-20 00:00:00,2024-01-22 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00006,OL000010,SO-20240006,CUST0006,PROD0015,2024-01-23,2024-02-01,PARTIAL,MARKETPLACE,19,56.7865,0.1,60.6906,LOC0010,LOC0051,USD,J. Kim,2024-01-23 00:00:00,2024-01-25 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00006,OL000011,SO-20240006,CUST0006,PROD0051,2024-01-23,2024-01-29,PARTIAL,EDI,39,22.1394,0,53.9648,LOC0005,LOC0065,USD,M. Torres,2024-01-23 00:00:00,2024-01-25 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00007,OL000012,SO-20240007,CUST0007,PROD0064,2024-01-26,2024-02-03,SHIPPED,MARKETPLACE,48,108.9615,0,326.8845,LOC0008,LOC0071,USD,A. Patel,2024-01-26 00:00:00,2024-01-28 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00008,OL000013,SO-20240008,CUST0008,PROD0006,2024-01-29,2024-02-05,SHIPPED,MARKETPLACE,28,71.4664,0,125.0662,LOC0014,LOC0074,USD,L. Chen,2024-01-29 00:00:00,2024-01-31 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00008,OL000014,SO-20240008,CUST0008,PROD0082,2024-01-29,2024-01-31,SHIPPED,PHONE,27,98.3393,0.05,157.6502,LOC0006,LOC0078,USD,L. Chen,2024-01-29 00:00:00,2024-01-31 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00008,OL000015,SO-20240008,CUST0008,PROD0047,2024-01-29,2024-02-03,SHIPPED,SALES_REP,6,59.4047,0,22.2768,LOC0013,LOC0054,USD,S. Nguyen,2024-01-29 00:00:00,2024-01-31 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00009,OL000016,SO-20240009,CUST0009,PROD0044,2024-02-01,2024-02-04,CANCELLED,MARKETPLACE,15,118.1858,0,110.7992,LOC0004,LOC0061,USD,M. Torres,2024-02-01 00:00:00,2024-02-03 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00009,OL000017,SO-20240009,CUST0009,PROD0045,2024-02-01,2024-02-06,CANCELLED,WEB,47,55.4632,0,162.9231,LOC0005,LOC0065,USD,J. Kim,2024-02-01 00:00:00,2024-02-03 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00009,OL000018,SO-20240009,CUST0009,PROD0023,2024-02-01,2024-02-05,CANCELLED,SALES_REP,39,84.2075,0,205.2558,LOC0015,LOC0077,USD,L. Chen,2024-02-01 00:00:00,2024-02-03 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00010,OL000019,SO-20240010,CUST0010,PROD0083,2024-02-04,2024-02-11,CANCELLED,EDI,41,117.1325,0,300.152,LOC0015,LOC0053,USD,S. Nguyen,2024-02-04 00:00:00,2024-02-06 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00010,OL000020,SO-20240010,CUST0010,PROD0057,2024-02-04,2024-02-06,CANCELLED,PHONE,41,89.9596,0,230.5215,LOC0017,LOC0053,USD,M. Torres,2024-02-04 00:00:00,2024-02-06 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00010,OL000021,SO-20240010,CUST0010,PROD0060,2024-02-04,2024-02-10,CANCELLED,WEB,29,108.8162,0,197.2294,LOC0003,LOC0073,USD,S. Nguyen,2024-02-04 00:00:00,2024-02-06 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00011,OL000022,SO-20240011,CUST0011,PROD0006,2024-02-07,2024-02-12,CLOSED,PHONE,29,82.6577,0.1,134.8354,LOC0016,LOC0058,USD,A. Patel,2024-02-07 00:00:00,2024-02-09 00:00:00,2025-09-20 06:00:00,NETSUITE
ORD00011,OL000023,SO-20240011,CUST0011,PROD0058,2024-02-07,2024-02-10,CLOSED,MARKETPLACE,7,107.4408,0,47.0053,LOC0006,LOC0051,USD,J. Kim,2024-02-07 00:00:00,2024-02-09 00:00:00,2025-09-20 06:00:00,NETSUITE
