product_id,sku,product_name,product_category,product_subcategory,brand,unit_cost,list_price,unit_of_measure,weight_lbs,status,supplier_id,supplier_name,created_at,updated_at,_loaded_at,_source_system
PROD0001,SKU-BEV-0001,NorthPeak Soft Drinks 1,Beverages,Soft Drinks,BlueOrchard,22.6995,40.7775,CS,35.4682,ACTIVE,SUP001,Supplier 1,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0002,SKU-SNA-0002,HarborLane Candy 2,Snacks,Candy,HarborLane,59.9492,109.0196,PL,27.5674,SEASONAL,SUP002,Supplier 2,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0003,SKU-APP-0003,ClearPath Tops 3,Apparel,Tops,IronGate,66.7197,100.1908,CS,2.1987,ACTIVE,SUP003,Supplier 3,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0004,SKU-ELE-0004,ClearPath Accessories 4,Electronics,Accessories,IronGate,40.1581,87.2085,PL,23.899,DISCONTINUED,SUP004,Supplier 4,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0005,SKU-HOM-0005,IronGate Bedding 5,Home,Bedding,BlueOrchard,53.0438,110.1807,PL,17.9474,ACTIVE,SUP005,Supplier 5,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0006,SKU-BEV-0006,ClearPath Water 6,Beverages,Water,SummitCo,39.6308,83.801,PL,19.487,ACTIVE,SUP006,Supplier 6,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0007,SKU-SNA-0007,SummitCo Nuts 7,Snacks,Nuts,SummitCo,8.8924,14.0374,CS,35.7425,ACTIVE,SUP007,Supplier 7,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0008,SKU-APP-0008,ClearPath Tops 8,Apparel,Tops,HarborLane,21.5791,44.1949,EA,16.7117,ACTIVE,SUP008,Supplier 8,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0009,SKU-ELE-0009,BlueOrchard Audio 9,Electronics,Audio,BlueOrchard,36.8014,54.7553,PL,37.8533,ACTIVE,SUP009,Supplier 9,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0010,SKU-HOM-0010,SummitCo Storage 10,Home,Storage,SummitCo,33.8814,42.5815,CS,34.1672,DISCONTINUED,SUP010,Supplier 10,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0011,SKU-BEV-0011,IronGate Water 11,Beverages,Water,HarborLane,46.9032,98.2542,CS,8.933,ACTIVE,SUP011,Supplier 11,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0012,SKU-SNA-0012,BlueOrchard Chips 12,Snacks,Chips,ClearPath,34.5807,69.8255,EA,33.6521,DISCONTINUED,SUP012,Supplier 12,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0013,SKU-APP-0013,IronGate Outerwear 13,Apparel,Outerwear,IronGate,46.5652,106.7725,PL,1.2787,ACTIVE,SUP013,Supplier 13,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0014,SKU-ELE-0014,SummitCo Accessories 14,Electronics,Accessories,BlueOrchard,74.0152,107.9873,CS,8.6241,ACTIVE,SUP014,Supplier 14,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0015,SKU-HOM-0015,BlueOrchard Bedding 15,Home,Bedding,SummitCo,25.4562,59.6664,EA,18.9182,ACTIVE,SUP015,Supplier 15,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0016,SKU-BEV-0016,ClearPath Soft Drinks 16,Beverages,Soft Drinks,NorthPeak,84.9924,140.4461,PL,1.8023,ACTIVE,SUP001,Supplier 1,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0017,SKU-SNA-0017,HarborLane Chips 17,Snacks,Chips,HarborLane,18.9473,24.1282,EA,19.0477,ACTIVE,SUP002,Supplier 2,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
PROD0018,SKU-APP-0018,SummitCo Tops 18,Apparel,Tops,HarborLane,40.8653,63.1238,PL,24.3685,ACTIVE,SUP003,Supplier 3,2022-03-01 00:00:00,2025-07-15 00:00:00,2025-09-20 06:00:00,NETSUITE
