shipment_id,shipment_number,order_id,carrier_code,carrier_name,mode,shipment_status,origin_location_id,destination_location_id,planned_ship_date,actual_ship_date,planned_delivery_date,actual_delivery_date,freight_cost,weight_lbs,pallet_count,tracking_number,yard_checkin_at,yard_checkout_at,created_at,updated_at,_loaded_at,_source_system
SHP00001,TMS-900001,ORD00001,FXFE,FedEx Freight,LTL,DELIVERED,LOC0018,LOC0065,2024-01-11,2024-01-11,2024-01-14,2024-01-15,1614.28,12525.9572,4,1Z61752790161,2024-01-11 17:00:00,2024-01-12 05:00:00,2024-01-08 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00002,TMS-900002,ORD00002,AMZL,Amazon Shipping,PARCEL,PLANNED,LOC0010,LOC0079,2024-01-16,,2024-01-19,,547.25,1129.6123,6,1Z51395713665,2024-01-16 06:00:00,,2024-01-11 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00003,TMS-900003,ORD00003,FXFE,FedEx Freight,LTL,DELIVERED,LOC0009,LOC0054,2024-01-18,2024-01-18,2024-01-22,2024-01-22,1570.92,16306.7626,12,1Z65342769705,2024-01-18 13:00:00,2024-01-19 00:00:00,2024-01-14 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00004,TMS-900004,ORD00004,ODFL,Old Dominion,TL,DELIVERED,LOC0009,LOC0052,2024-01-19,2024-01-20,2024-01-21,2024-01-21,434.87,29266.9564,4,1Z68160080631,2024-01-20 10:00:00,2024-01-20 14:00:00,2024-01-17 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00005,TMS-900005,ORD00005,AMZL,Amazon Shipping,PARCEL,EXCEPTION,LOC0016,LOC0064,2024-01-22,2024-01-21,2024-01-24,2024-01-28,1187.55,3362.1643,23,1Z78868634481,2024-01-21 12:00:00,2024-01-21 21:00:00,2024-01-20 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00006,TMS-900006,ORD00006,AMZL,Amazon Shipping,INTERMODAL,CANCELLED,LOC0006,LOC0059,2024-01-28,2024-01-27,2024-02-04,,2335.56,33964.9273,5,1Z66017866439,,,2024-01-23 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00007,TMS-900007,ORD00007,FXFE,FedEx Freight,LTL,DELIVERED,LOC0011,LOC0053,2024-01-30,2024-01-30,2024-02-07,2024-02-10,286.47,23389.4784,18,1Z79905750238,2024-01-30 15:00:00,2024-01-30 20:00:00,2024-01-26 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00008,TMS-900008,ORD00008,XPO,XPO Logistics,TL,DELIVERED,LOC0005,LOC0058,2024-01-30,2024-01-29,2024-02-05,2024-02-05,1396.66,24493.3038,4,1Z26857438118,2024-01-29 07:00:00,2024-01-29 14:00:00,2024-01-29 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00009,TMS-900009,ORD00011,AMZL,Amazon Shipping,PARCEL,DELIVERED,LOC0016,LOC0079,2024-02-08,2024-02-08,2024-02-16,2024-02-16,171.73,11603.6233,5,1Z94259718494,2024-02-08 12:00:00,2024-02-08 17:00:00,2024-02-07 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00010,TMS-900010,ORD00013,JBHT,J.B. Hunt,INTERMODAL,EXCEPTION,LOC0002,LOC0079,2024-02-17,2024-02-17,2024-02-22,2024-02-24,2216.73,37680.4656,1,1Z52063415301,2024-02-17 17:00:00,2024-02-17 21:00:00,2024-02-13 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00011,TMS-900011,ORD00014,ODFL,Old Dominion,TL,DELIVERED,LOC0010,LOC0077,2024-02-19,2024-02-20,2024-02-27,2024-02-26,1876.88,13510.4258,24,1Z93394403861,2024-02-20 09:00:00,2024-02-20 12:00:00,2024-02-16 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00012,TMS-900012,ORD00015,JBHT,J.B. Hunt,INTERMODAL,IN_TRANSIT,LOC0016,LOC0072,2024-02-20,2024-02-20,2024-02-25,,1985.66,21665.564,6,1Z48936528388,2024-02-20 12:00:00,2024-02-21 00:00:00,2024-02-19 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00013,TMS-900013,ORD00017,JBHT,J.B. Hunt,INTERMODAL,DELIVERED,LOC0006,LOC0061,2024-03-01,2024-03-02,2024-03-04,2024-03-05,2111.04,8470.4883,2,1Z15366519828,2024-03-02 15:00:00,2024-03-02 16:00:00,2024-02-25 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00014,TMS-900014,ORD00018,XPO,XPO Logistics,TL,IN_TRANSIT,LOC0015,LOC0074,2024-02-29,2024-02-29,2024-03-07,,1555.97,5246.4664,1,1Z58283756474,2024-02-29 11:00:00,2024-03-01 01:00:00,2024-02-28 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00015,TMS-900015,ORD00019,XPO,XPO Logistics,TL,CANCELLED,LOC0016,LOC0071,2024-03-07,2024-03-08,2024-03-10,,881.94,35189.5757,9,1Z21548525142,,,2024-03-02 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00016,TMS-900016,ORD00020,ODFL,Old Dominion,TL,IN_TRANSIT,LOC0007,LOC0063,2024-03-06,2024-03-07,2024-03-08,,1583.68,28479.3156,9,1Z68633121146,2024-03-07 15:00:00,2024-03-08 04:00:00,2024-03-05 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00017,TMS-900017,ORD00021,AMZL,Amazon Shipping,PARCEL,EXCEPTION,LOC0010,LOC0066,2024-03-09,2024-03-09,2024-03-14,2024-03-15,1066.11,15843.1452,12,1Z46331119849,2024-03-09 15:00:00,2024-03-10 04:00:00,2024-03-08 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
SHP00018,TMS-900018,ORD00023,UPGF,UPS Freight,LTL,DELIVERED,LOC0004,LOC0049,2024-03-18,2024-03-18,2024-03-25,2024-03-26,1269.15,27835.8112,12,1Z98310785865,2024-03-18 12:00:00,2024-03-18 22:00:00,2024-03-14 00:00:00,2025-09-15 10:00:00,2025-09-20 06:00:00,TMS
